Ring_No,Date_recovered,Day_recorded,Month_recorded,Year_recorded,Accurancy_of_date_Euring_code,Condition_Euring_code,Circumstances_Euring_code,Circumstances_Euring_text,When dead,Date_reported
15554,10/15/1976,15,10,1976,5,3,01,Bird found dead,,14.09.1985
15556,9/18/1980,18,9,1980,9,3,01,Bird found long dead,Died summer 1980,22.09.1980
15559,6/18/1980,18,6,1980,9,3,01,Bird found long dead,,18.12.1980
15560,4/15/1979,15,4,1979,9,3,01,Bird found long dead,Died winter 1978-1979,29.06.1984
15562,8/20/1987,20,8,1987,0,3,01,Bird found dead (less than month),Died summer 1987,25.08.1987
15567,5/13/1995,13,5,1995,9,3,01,Bird found long dead,,26.05.1995
15661,11/15/1985,15,11,1985,1,2,11,Found shot,,23.10.1986
15666,7/16/1986,16,7,1986,0,4,50,Oiled by fulmar,,16.07.1986
15666,5/1/1987,1,5,1987,0,2,01,Bird found dead,,01.05.1987
15669,11/2/1985,2,11,1985,1,2,43,Hit wires,,03.11.1985
15963,6/18/1989,18,6,1989,0,2,50,Oiled by fulmar,,19.06.1989
15965,11/22/1988,22,11,1988,1,2,01,Bird found dead,,26.11.1988
15968,1/13/1989,13,1,1989,0,2,01,Bird found dead,,17.01.1989
15978,7/24/1989,24,7,1989,0,2,40,Road casuality,,24.07.1989
15980,6/1/1996,1,6,1996,9,3,01,Bird found long dead,Died winter 1994-1995,06.06.1996
15988,12/4/1989,4,12,1989,0,2,01,Bird found dead,,07.12.1989
15995,9/23/1990,23,9,1990,9,3,01,Bird found long dead,Died winter 1989-1990,25.09.1990
15998,8/29/1990,29,8,1990,0,3,58,Chick dead in nest,,03.09.1990
16152,4/15/1982,15,4,1982,5,3,01,Bird found dead,,23.11.1983
17551,5/16/1985,16,5,1985,0,8,20,Trapped at nest,,31.05.1985
17551,5/17/1987,17,5,1987,0,8,20,Trapped at nest,,13.10.1987
17562,3/23/1999,23,3,1999,0,5,50,"Hit wires, killed",,23.03.1999
17569,9/11/2004,11,9,2004,0,3,01,Bird found dead,,12.09.2004
17573,8/12/1999,12,8,1999,0,3,58,Chick dead in nest,,16.08.1999
17620,11/10/1982,10,11,1982,0,3,01,Bird found dead,,21.09.1983
17622,10/5/1982,5,10,1982,3,2,40,Road casuality,,29.06.1984
17625,8/13/1982,13,8,1982,0,2,43,Hit wires,,24.08.1982
17636,9/23/1983,23,9,1983,1,3,40,Road casuality,,29.06.1984
17637,6/16/2000,16,6,2000,9,3,01,Bird found dead long dead,Died winter 1998-1999,18.06.2000
17641,5/14/1987,14,5,1987,0,8,20,Trapped at nest,,13.10.1987
17645,3/21/1987,21,3,1987,9,3,50,"Found injured, killed",,03.09.1990
17649,10/6/1985,6,10,1985,0,3,01,Bird found dead,,10.10.1985
17649,4/22/1985,22,4,1985,0,4,50,Oiled by fulmar,,22.04.1985
17705,10/5/1991,5,10,1991,0,2,43,hit wires,,03.11.1991
17712,8/3/1991,3,8,1991,0,3,58,Chick dead in nest,,05.10.1995
17716,8/2/1991,2,8,1991,0,3,58,Chick dead in nest,,05.10.1995
17719,8/2/1991,2,8,1991,0,3,58,Chick dead in nest,,29.09.1996
17725,9/21/1995,21,9,1995,0,2,43,hit wires,,22.09.1995
17734,10/4/1995,4,10,1995,2,5,58,Sick,,17.10.1995
17735,8/12/1995,12,8,1995,0,3,58,Chick dead in nest,,13.09.1995
17743,6/16/2011,16,6,2011,9,3,01,Bird found long dead,Dead 3-5 years,01.07.2011
17747,3/15/1997,15,3,1997,2,2,43,Hit wires,,11.04.1997
17803,8/25/1985,25,8,1985,0,3,01,Bird found dead (less than month),,25.10.1985
17814,10/31/1985,31,10,1985,0,2,01,Bird found freshly dead,,01.11.1985
17823,8/14/1988,14,8,1988,0,3,01,Bird found long dead,Died year 1988,15.08.1988
17827,10/18/1986,18,10,1986,0,2,01,Bird found freshly dead,,22.10.1986
17840,7/23/1985,23,7,1985,0,3,58,Chick dead in nest,,00.00.1985
17843,8/12/1993,12,8,1993,0,2,01,Bird found freshly dead,,12.08.1993
17845,8/1/1986,1,8,1986,5,3,01,Bird found long dead,Died in June 1986,19.02.1987
17855,5/24/1987,24,5,1987,0,5,58,"Sick, killed",,24.05.1987
17856,5/15/1993,15,5,1993,4,3,01,Bird found long dead,Died winter 1992-1993,19.05.1993
17868,7/27/1987,27,7,1987,0,3,58,Chick dead in nest,,13.10.1987
17871,2/4/1988,4,2,1988,0,7,46,Entered building,,04.02.1988
17872,7/27/1987,27,7,1987,0,3,58,Chick dead in nest,,13.10.1987
17893,5/3/1988,3,5,1988,0,2,43,Hit wires,,04.05.1988
17931,6/1/1996,1,6,1996,9,3,01,Bird found long dead,No estimate,06.06.1996
17946,6/26/1985,26,6,1985,0,3,43,Hit wires,Died spring 1985,00.00.1985
17948,7/14/1984,14,7,1984,0,3,58,Chick dead in nest,,13.08.1984
17973,7/12/2005,12,7,2005,1,2,32,Barbed wire,,06.09.2005
17978,3/19/2007,19,3,2007,0,2,01,Bird found dead,,20.03.2007
18012,8/19/1990,19,8,1990,0,2,01,Bird found freshly dead,,19.08.1990
18013,8/15/1992,15,8,1992,0,3,58,Chick dead in nest,,25.08.1992
18020,9/11/1992,11,9,1992,0,5,58,"Sick, killed",,11.09.1992
18024,5/5/1993,5,5,1993,3,3,01,Bird found dead (less than month),,07.06.1993
18026,7/1/2002,1,7,2002,2,3,43,Hit wires,Died spring 2002,05.11.2002
18032,1/17/2009,17,1,2009,0,2,40,Road casuality,,02.02.2009
18047,6/29/1997,29,6,1997,0,3,01,Bird found long dead,Died probably winter 1995-1996,28.07.1997
110102,7/20/1979,20,7,1979,1,3,01,Bird found long dead,Died probably winter 1978-1979,17.08.1979
110115,10/6/1984,6,10,1984,0,2,40,Road casuality,,31.10.1984
110117,5/6/1988,6,5,1988,0,8,20,Trapped at nest,,03.07.1988
110118,5/6/1987,6,5,1987,0,8,20,Trapped at nest,,13.10.1987
110118,5/21/1988,21,5,1988,0,8,20,Trapped at nest,,04.07.1988
110124,6/27/1997,27,6,1997,0,2,01,Bird found dead (fresh),,02.07.1997
110126,7/4/1985,4,7,1985,0,2,40,Road casuality,,00.00.1985
110157,10/17/1986,17,10,1986,0,2,32,Barbed wire,,21.10.1986
110160,9/8/1982,8,9,1982,0,3,01,Bird found long dead,Died winter 1981-1982,08.09.1982
110163,8/26/1981,26,8,1981,0,2,40,Road casuality,,00.00.1981
110164,6/3/1982,3,6,1982,0,8,20,Trapped at nest,,13.02.1983
110164,5/15/1985,15,5,1985,0,8,20,Trapped at nest,,31.05.1985
110164,5/16/1987,16,5,1987,0,8,20,Trapped at nest,,13.10.1987
110165,8/30/1981,30,8,1981,0,2,40,Road casuality,,01.09.1981
110173,6/23/1982,23,6,1982,0,3,01,Bird found dead,Died spring 1982,24.06.1982
110174,9/28/1982,28,9,1982,0,2,11,Found shot,,19.10.1982
110192,10/15/1981,15,10,1981,4,2,40,Road casuality,,13.02.1983
110194,5/10/1985,10,5,1985,0,8,20,Trapped at nest,,31.05.1985
112503,9/29/1982,29,9,1982,0,5,50,"Found injured, killed",,28.09.1982
112508,5/29/1983,29,5,1983,0,2,40,Road casuality,,04.06.1983
112511,7/27/1982,27,7,1982,0,3,58,Chick dead in nest,,00.00.1982
112513,10/25/1982,25,10,1982,3,2,20,Shot,,17.04.1985
112518,6/1/1998,1,6,1998,0,5,50,Oiled by fulmar,,02.06.1998
112523,7/9/1982,9,7,1982,0,3,58,Chick dead in nest,,13.07.1982
112524,5/23/1994,23,5,1994,9,3,01,Bird found long dead,Died winter 1993-1994,24.05.1994
112525,3/17/1984,17,3,1984,0,8,20,Trapped at nest,,25.03.1984
112528,7/29/1985,29,7,1985,9,3,01,Bird found long dead,Died winter 1984-1985,29.07.1985
112530,6/15/1987,15,6,1987,9,3,01,No information,,03.09.1990
112534,8/9/1983,9,8,1983,0,2,43,Hit wires,,31.10.1984
112537,5/28/1984,28,5,1984,0,4,50,Caught and released,,28.05.1984
112540,5/17/1986,17,5,1986,9,3,01,Bird found long dead,Died winter 1985-1986,21.05.1986
112544,5/15/1987,15,5,1987,0,8,20,Trapped at nest,,13.10.1987
112549,6/15/1988,15,6,1988,9,3,01,No information,No estimate,03.09.1990
112550,7/22/1985,22,7,1985,0,5,58,"Sick, killed",,23.07.1985
112560,7/30/1986,30,7,1986,0,5,50,"Oiled by fulmar, killed",,00.07.1986
112561,7/30/1985,30,7,1985,0,3,58,Chick dead in nest,,00.00.1985
112562,5/30/1986,30,5,1986,9,3,01,Bird found dead,Died winter 1985-1986,06.06.1986
112564,10/30/1985,30,10,1985,0,7,46,Caught and released,,30.10.1985
112572,4/18/1987,18,4,1987,0,5,50,"Oiled by fulmar, killed",,22.04.1987
112575,7/28/1985,28,7,1985,0,3,58,Chick dead in nest,,00.00.1985
112576,7/28/1985,28,7,1985,0,3,58,Chick dead in nest,,00.00.1985
112585,6/14/1993,14,6,1993,9,3,01,No information,No estimate,18.06.2000
112588,6/15/1988,15,6,1988,9,3,01,Bird found long dead,Died winter 1987-1988,12.05.1989
112597,11/29/1986,29,11,1986,0,7,46,Entered building,,29.11.1986
112598,8/18/1987,18,8,1987,9,3,01,Bird found long dead,Died winter 1986-1987,25.08.1987
113278,3/12/1989,12,3,1989,0,2,40,"Road casuality, killed",,13.03.1989
113286,7/30/1990,30,7,1990,0,3,63,Taken by wild mammal,,27.09.1990
113468,5/31/2002,31,5,2002,9,3,01,Bird found long dead,Died winter 2001-2002,27.12.2002
113474,4/15/1987,15,4,1987,9,3,01,Bird found dead,Died winter 1986-1987,13.05.1987
113475,6/26/1988,26,6,1988,0,3,01,Bird found dead (less than month),,16.11.1989
113481,12/7/1986,7,12,1986,0,5,58,"Sick, killed",,07.12.1986
113489,5/9/1988,9,5,1988,0,8,20,Trapped at nest,,03.07.1988
113489,5/15/1996,15,5,1996,9,3,01,Bird found long dead,Died fall 1995,06.06.1996
113509,4/8/1993,8,4,1993,9,3,01,Bird found long dead,Died winter 1992-1993,20.04.1993
113511,8/20/1988,20,8,1988,0,2,01,Bird found dead (less than month),,20.08.1988
113511,7/28/1988,28,7,1988,0,4,58,"Sick, released",,20.08.1988
113514,5/9/1987,9,5,1987,9,3,01,Bird found long dead,Died winter 1986-1987,14.05.1987
113516,12/24/1986,24,12,1986,0,2,43,Hit wires,,24.12.1986
113518,1/4/1988,4,1,1988,0,4,58,"Sick, released",,04.01.1988
113651,2/23/2000,23,2,2000,0,2,40,Road casuality,,25.02.2000
113658,5/9/1988,9,5,1988,0,5,50,"Found injured, killed",,09.05.1988
113660,7/22/1997,22,7,1997,9,3,01,Bird found long dead,Dead at least 3-4 years,02.07.1997
113661,5/30/1994,30,5,1994,9,3,01,Bird found long dead,Died 1993,30.05.1994
113662,8/7/1992,7,8,1992,0,3,01,Bird found dead (less than month),,07.08.1992
113665,4/15/1988,15,4,1988,5,2,01,Bird found dead,Died winter 1987-1988,31.08.1992
113669,7/26/1987,26,7,1987,0,3,58,Chick dead in nest,,13.10.1987
113675,7/27/1987,27,7,1987,0,3,58,Chick dead in nest,,13.10.1987
113676,7/11/1994,11,7,1994,9,3,01,Bird found long dead,Died autumn 1993,14.07.1994
113684,9/17/1993,17,9,1993,0,5,50,"Found injured, killed",,17.09.1993
113687,9/15/1988,15,9,1988,0,5,58,"Sick, killed",,15.09.1988
113697,6/11/1988,11,6,1988,9,3,01,Bird found long dead,Died winter 1987-1988,18.06.1988
113702,6/4/1991,4,6,1991,0,5,50,"Oiled by fulmar, killed",,04.06.1991
113704,7/26/1992,26,7,1992,9,3,01,Bird found long dead,Died winter 1991-1992,06.08.1992
113717,4/25/1993,25,4,1993,0,2,50,Oiled by fulmar,,28.04.1993
113718,8/12/1992,12,8,1992,0,3,58,Chick dead in nest,,25.08.1992
113725,5/16/1994,16,5,1994,0,3,01,Bird found dead (less than month),,18.05.1994
114403,7/1/1994,1,7,1994,2,3,43,Hit wires,Dead c. 1 month,09.12.1994
114409,8/1/2002,1,8,2002,0,2,01,Bird found freshly dead,,01.08.2002
114412,7/26/1989,26,7,1989,0,2,40,Road casuality,,31.07.1989
114419,8/15/1992,15,8,1992,3,3,01,Bird found dead,,14.10.1992
114422,8/17/1989,17,8,1989,0,3,58,Chick dead in nest,,15.03.1991
114423,8/17/1989,17,8,1989,0,3,58,Chick dead in nest,,15.03.1991
114428,9/13/1990,13,9,1990,0,4,58,"Sick, released",,13.09.1990
114436,8/20/1990,20,8,1990,0,3,58,Chick dead in nest,,03.09.1990
114437,9/15/1990,15,9,1990,4,1,02,Only ring found,Died late summer 1990,15.11.1990
114448,7/27/1991,27,7,1991,0,2,40,Road casuality,,00.08.1991
114717,7/2/2004,2,7,2004,0,3,01,Bird found long dead,Died winter 2003-2004,02.07.2004
114720,8/17/1994,17,8,1994,0,2,40,Road casuality,,24.08.1994
114986,6/7/1996,7,6,1996,0,2,50,Oiled by fulmar,,07.06.1996
114987,6/1/1996,1,6,1996,9,3,01,Chick dead in nest,Died June 1995,06.06.1996
114990,10/22/1995,22,10,1995,0,3,01,Bird found dead,,23.10.1995
115203,10/15/1996,15,10,1996,9,3,11,Found shot,Died autumn 1996 based on intact carcass,09.01.2013
115212,12/6/1997,6,12,1997,0,3,01,Bird found dead (c. 2 weeks dead),,06.12.1997
115214,10/15/1998,15,10,1998,9,3,01,Bird found long dead,Died winter 1997-1998,24.08.2005
115226,6/9/2009,9,6,2009,0,7,28,Metal ring read in field,,09.06.2009
115229,6/7/1998,7,6,1998,9,3,01,Bird found long dead,Died late winter 1997-1998,11.06.1998
115235,10/23/1997,23,10,1997,3,2,11,Found shot,,18.12.1997
115245,6/15/2017,15,6,2017,9,3,01,Bird found long dead (withered bones),No estimate,15.11.2017
115247,5/15/2003,15,5,2003,9,3,01,Bird found long dead (only leg found),No estimate,15.05.2003
117908,3/15/2001,15,3,2001,4,3,01,Bird found long dead,Died winter 2000-2001,31.05.2001
117910,8/2/2001,2,8,2001,0,3,01,Oiled by fulmar,Died late winter 2000-2001,03.08.2001
117911,12/28/2000,28,12,2000,0,3,01,Bird found dead,,05.01.2001
117912,1/17/2001,17,1,2001,0,2,43,Hit wires,,17.01.2001
117915,8/7/2000,7,8,2000,0,3,58,Chick dead in nest,,16.08.2000
117924,9/24/2001,24,9,2001,0,5,58,"Sick, killed",,26.09.2001
117928,8/27/2000,27,8,2000,0,7,48,On ship,,04.01.2001
117933,8/10/2000,10,8,2000,0,3,58,Chick dead in nest,,16.08.2000
117935,9/14/2002,14,9,2002,9,3,01,Bird found long dead,Died winter 2001-2002,17.09.2002
117949,8/21/2002,21,8,2002,0,5,50,"Found injured, killed",,23.08.2002
117950,7/20/2004,20,7,2004,3,2,40,Road casuality,,
118505,7/24/2006,24,7,2006,9,3,01,Bird found long dead,No estimate,26.07.2006
118951,10/27/2004,27,10,2004,0,2,43,Hit wires,,27.10.2004
118963,6/2/2000,2,6,2000,0,3,01,Bird found dead (less than month),,28.06.2000
118965,9/14/2002,14,9,2002,0,3,43,hit wires,Died spring 2002,16.09.2002
118975,12/12/1997,12,12,1997,0,2,11,Found shot,,28.01.1998
118980,6/10/2012,10,6,2012,0,3,01,Bird found dead,Died spring 2012,13.06.2012
118985,3/13/1998,13,3,1998,0,2,01,Bird found freshly dead,,14.03.1998
118989,6/17/2008,17,6,2008,9,3,01,Bird found long dead (dead 2-4 years),No estimate,06.11.2008
118998,5/25/2002,25,5,2002,0,2,01,Bird found dead,,25.05.2002
119355,8/11/2003,11,8,2003,0,3,58,Chick dead in nest,,07.12.2004
119356,7/15/2008,15,7,2008,4,3,01,Bird found long dead,Died spring/summer 2008,09.06.2010
119357,4/22/2004,22,4,2004,0,3,01,Bird found long dead,Died autumn 2003,25.04.2004
119361,5/9/2004,9,5,2004,0,3,43,Hit wires,Died winter 2003-2004,19.05.2004
119365,1/20/2004,20,1,2004,0,5,50,"Found injured, killed",,20.01.2004
119374,8/22/2004,22,8,2004,0,5,50,"Found injured, killed",,10.09.2004
119380,6/15/2004,15,6,2005,4,3,01,Bird found dead,Died spring 2005,20.10.2005
119388,3/16/2005,16,3,2005,0,2,01,Bird found freshly dead,,17.03.2005
119391,7/10/2005,10,7,2005,0,3,01,Bird found long dead,Died winter 2004-2005,11.07.2005
123505,3/6/2005,6,3,2005,0,7,28,Metal ring read in field,,28.06.2000
123508,7/24/2001,24,7,2001,0,3,01,Bird found dead (less than month),,25.07.2001
123510,7/19/2002,19,7,2002,0,3,35,Electrocuted,Died late winter 2001-2002,22.07.2002
123516,12/12/2001,12,12,2001,0,7,46,Caught and released,,13.12.2001
123519,6/5/2011,5,6,2011,0,7,28,Metal ring read in field,,07.07.2011
123526,6/17/2013,17,6,2013,9,3,01,Bird found long dead,Died spring 2012,01.07.2013
123530,9/10/2002,10,9,2002,0,5,40,"Road casuality, killed",,10.09.2002
123537,6/30/2007,30,6,2007,0,7,28,Metal ring read in field,,31.01.2008
123960,10/23/2008,23,10,2008,0,7,46,Entered building,,23.10.2008
123965,8/1/2008,1,8,2008,0,3,58,Chick dead in nest,,06.11.2008
123975,5/17/2009,17,5,2009,0,5,50,"Oiled by fulmar, killed",,11.06.2009
123982,9/25/2009,25,9,2009,1,2,01,Bird found dead,,29.09.2009
123990,7/28/2009,28,7,2009,0,3,58,Chick dead in nest,,11.11.2009
123992,10/8/2009,8,10,2009,0,2,40,Road casuality,,08.10.2009
124021,3/10/2012,10,3,2012,0,3,01,Bird found long dead,Died winter 2011-2012,10.03.2012
124027,6/14/2014,14,6,2014,0,8,29,Colur mark record,,30.06.2014
124027,6/14/2015,14,6,2015,0,8,29,Colur mark record,,06.07.2016
124027,6/5/2016,5,6,2016,0,7,29,Colur mark record,,30.06.2016
124027,6/17/2017,17,6,2017,0,8,29,Colur mark record,,30.06.2017
124030,12/24/2011,24,12,2011,0,5,50,"Found injured, killed",,02.03.2012
124031,5/4/2012,4,5,2012,0,7,29,Colur mark record,,07.05.2012
124031,5/31/2012,31,5,2012,0,2,01,Bird found freshly dead,,01.06.2012
124032,4/8/2012,8,4,2012,0,2,01,Bird found freshly dead,,10.04.2012
124033,8/1/2011,1,8,2011,0,3,58,Chick dead in nest,,02.03.2012
124035,8/3/2011,3,8,2011,0,3,58,Chick dead in nest,,02.03.2012
124036,11/1/2011,1,11,2011,0,8,29,Colur mark record,,01.11.2011
124036,6/11/2012,11,6,2012,0,3,01,Bird found long dead,Died early winter 2011-2012,13.06.2012
124038,8/3/2011,3,8,2011,0,3,58,Chick dead in nest,,02.03.2012
124353,10/1/2012,1,10,2012,0,7,29,Colur mark record,,
124353,7/31/2013,31,7,2013,3,2,01,Bird found dead,,10.08.2013
124353,1/2/2013,2,1,2013,0,7,29,Colur mark record,,10.04.2012
124357,8/17/2012,17,8,2012,0,5,40,"Road casuality, killed",,21.08.2012
124359,7/15/2012,15,7,2012,2,3,01,Chick dead in nest,,14.10.2013
124362,7/31/2014,31,7,2014,9,3,01,Bird found long dead,Died winter 2013-2014,31.07.2014
124364,1/17/2014,17,1,2014,0,2,01,Bird found freshly dead,,28.02.2014
124367,7/28/2015,28,7,2015,0,2,43,Hit wires,,07.09.2015
132303,6/17/2010,17,6,2010,0,7,28,Metal ring read in field,,
132303,6/16/2011,16,6,2011,0,7,28,Metal ring read in field,,
132311,6/13/2012,13,6,2012,0,7,28,Metal ring read in field,,14.06.2012
132317,10/10/2008,10,10,2008,1,3,01,Bird found long dead,Died summer 2008,14.10.2008
132325,3/13/2007,13,3,2007,0,5,50,"Oiled by fulmar, killed",,31.01.2008
132334,9/15/2004,15,9,2004,0,2,11,Found shot,,15.10.2004
132337,9/17/2006,17,9,2006,0,3,01,Bird found dead (less than month),,24.09.2006
132341,10/9/2005,9,10,2005,9,3,01,Bird found long dead,Died winter 2004-2005,19.10.2005
132454,9/18/2009,18,9,2009,9,1,02,Only ring found,No estimate,18.09.2009
132461,6/14/2014,14,6,2014,9,3,01,Bird found long dead,No estimate,15.06.2014
132489,11/24/2006,24,11,2006,0,5,11,"Found shot, killed",,27.11.2006
132717,10/3/2007,3,10,2007,0,5,50,"Found injured, killed",,12.12.2008
132733,5/10/2009,10,5,2009,0,3,01,Bird found long dead,Died winter 2008-2009,12.09.2011
132743,8/5/2008,5,8,2008,0,3,58,Chick dead in nest,,06.11.2008
133610,9/2/2010,2,9,2010,0,2,40,Road casuality,,02.09.2010
133621,6/16/2016,16,6,2016,0,8,29,Colur mark record,,30.06.2016
133630,6/26/2013,26,6,2013,0,3,01,Bird found long dead,Died late winter 2012-2013,01.07.2013
133633,5/15/2014,15,5,2014,0,2,01,Bird found dead,,22.05.2014
133638,3/7/2015,7,3,2015,0,7,29,Colur mark record,,08.03.2015
133638,6/19/2017,19,6,2017,0,8,29,Colur mark record,,30.06.2017
133640,6/2/2015,2,6,2015,0,3,01,Bird found dead (less than month),,02.06.2015
133644,6/17/2017,17,6,2017,0,8,29,Colur mark record,,30.06.2017
134304,7/26/2013,26,7,2013,0,3,01,Bird found dead (less than month),,29.07.2013
134311,8/2/2009,2,8,2009,0,3,58,Chick dead in nest,,11.11.2009
134313,11/20/2009,20,11,2009,0,2,40,Road casuality,,23.11.2009
134333,1/26/2011,26,1,2011,0,2,62,Taken by cat,,26.01.2011
134337,10/8/2010,8,10,2010,0,2,32,Tangled in net,,12.10.2010
134338,8/15/2010,15,8,2010,3,3,01,Bird found dead,,20.09.2010
134339,8/1/2010,1,8,2010,0,2,40,Road casuality,,15.06.2011
137151,7/30/2011,30,7,2011,0,3,58,Chick dead in nest,,02.03.2012
137152,7/31/2011,31,7,2011,0,3,58,Chick dead in nest,,02.03.2012
137155,7/31/2011,31,7,2011,0,3,58,Chick dead in nest,,02.03.2012
137157,5/5/2012,5,5,2012,0,7,29,Colur mark record,,05.05.2012
137158,5/6/2012,6,5,2012,9,3,01,Bird found long dead,Died winter 2011-2012,06.05.2012
137160,2/26/2012,26,2,2012,0,7,29,Colur mark record,,26.02.2012
137160,7/21/2012,21,7,2012,5,7,29,Colur mark record,,10.04.2012
137162,8/3/2011,3,8,2011,0,3,58,Chick dead in nest,,02.03.2012
137168,9/15/2013,15,9,2013,0,5,58,Sick,,25.10.2013
137173,6/11/2014,11,6,2014,0,7,29,Colur mark record,,12.06.2014
137179,1/22/2018,22,1,2018,0,7,29,Colur mark record,,
137186,5/15/2014,15,5,2014,0,3,01,Bird found dead,Died late winter 2013-2014,19.05.2014
V_FaRu0008,8/25/2014,25,8,2014,3,3,01,Bird found dead,Died late June 2014,02.06.2015
V_FaRu0012,3/14/2016,14,3,2016,0,7,29,Colur mark record,,18.03.2016
V_FaRu0012,1/5/2017,5,1,2017,0,7,29,Colur mark record,,07.01.2017
V_FaRu0012,3/10/2017,10,3,2017,0,7,29,Colur mark record,,09.05.2017
V_FaRu0031,6/9/2015,9,6,2015,0,4,50,Oiled by fulmar,,10.06.2015
V_FaRu0035,4/5/2015,5,4,2015,0,3,01,Bird found long dead,Died winter 2014-2015,07.04.2015
V_FaRu0046,8/18/2015,18,8,2015,0,3,01,Bird found long dead,Died winter 2014-2015,26.08.2015
V_FaRu0048,7/31/2014,31,7,2014,0,3,58,Chick dead in nest,,13.04.2015
V_FaRu0052,11/11/2014,11,11,2014,0,7,29,Colur mark record,,12.11.2014
V_FaRu0059,2/6/2016,6,2,2016,0,8,29,Colur mark record,,07.02.2016
V_FaRu0060,3/10/2017,10,3,2017,0,7,29,Colur mark record,,09.05.2017
V_FaRu0061,8/28/2015,28,8,2015,0,4,58,Sick,,31.08.2015
V_FaRu0068,8/13/2015,13,8,2015,0,7,29,Colur mark record,,13.01.2016
V_FaRu0074,7/29/2015,29,7,2015,0,2,40,Road casuality,,12.11.2015
V_FaRu0081,6/17/2017,17,6,2017,0,3,58,Chick dead in nest,,30.06.2017
V_FARU0088,8/17/2016,17,8,2016,0,7,29,Colur mark record,,30.08.2016
V_FaRu0089,10/19/2017,19,10,2017,0,7,43,Hit wires. Caught and released,,20.10.2017
V_FARU0096,3/23/2017,23,3,2017,9,3,01,Bird found long dead,Died winter 2016-2017,23.03.2017
